ID,TITLE,TYPE,IMDB_SCORE,RELEASE_YEAR,ENGAGEMENT_SCORE,DESCRIPTION_SENTIMENT,SENTIMENT_BUCKET
ts26428,Yu-Gi-Oh! 5D's,SHOW,6.9,2008,6.15,0.16834043,Neutral
ts32450,The Prince of Tennis,SHOW,6.9,2001,5.61,0.29685947,Neutral
ts12816,Big Windup!,SHOW,7.6,2007,6.02,0.22886066,Neutral
ts35960,Tenjho Tenge,SHOW,6.9,2004,6.03,0.054853838,Neutral
ts16399,A Certain Scientific Railgun,SHOW,7.5,2009,5.96,0.56000096,Positive
ts19187,Chi's Sweet Home,SHOW,7.9,2008,5.63,0.3036671,Positive
ts21539,Digimon Fusion,SHOW,6.9,2010,5.44,0.14303194,Neutral
tm176185,Fullmetal Alchemist the Movie: Conqueror of Shamballa,MOVIE,7.3,2005,6.33,0.16568755,Neutral
ts30449,Hakuouki,SHOW,8,2010,5.67,0.23282662,Neutral
ts25765,Vampire Knight,SHOW,7.3,2008,6.55,0.23443246,Neutral
ts32519,Pretty Cure,SHOW,6.8,2004,5.64,0.23127909,Neutral
ts33980,Lovely Complex,SHOW,8,2007,6.75,0.39084023,Positive
ts177522,Library War,SHOW,7,2008,5.87,0.3803431,Positive
ts1152,Emma: A Victorian Romance,SHOW,7.7,2005,5.45,0.18812242,Neutral
ts41553,Hikaru no Go,SHOW,8.3,2001,6.47,0.3278891,Positive
ts22020,Shugo Chara!,SHOW,7.3,2007,5.87,0.19838354,Neutral
ts33072,Mobile Suit Gundam Seed Destiny,SHOW,7.1,2004,6.18,0.31288728,Positive
ts24483,Saint Seiya The Lost Canvas,SHOW,8.1,2009,6.68,0.15816309,Neutral
ts9686,Arakawa Under the Bridge,SHOW,7.1,2010,5.64,0.22386645,Neutral
ts21852,The Law of Ueki,SHOW,7.2,2005,6.02,0.26529038,Neutral
ts29956,The World God Only Knows,SHOW,7.3,2010,5.95,0.24063107,Neutral
ts16771,Eyeshield 21,SHOW,7.7,2005,6.47,0.060817588,Neutral
ts27189,Junjou Romantica,SHOW,7.7,2008,6.09,0.14595416,Neutral
ts26444,Time of Eve,SHOW,7.8,2008,6.48,0.25591058,Neutral
ts30502,Squid Girl,SHOW,7.6,2010,5.84,0.1768629,Neutral
ts24467,Sweet Blue Flowers,SHOW,7,2009,5.08,0.5230215,Positive
ts42557,Honey and Clover,SHOW,7.8,2005,6.3,0.24405473,Neutral
ts53132,Cyborg 009: The Cyborg Soldier,SHOW,7.3,2001,5.62,0.100405395,Neutral
ts28698,Kekkaishi,SHOW,7.6,2006,5.92,0.19578674,Neutral
ts36530,Mazinger Edition Z: The Impact!,SHOW,7.3,2009,5.74,0.1201682,Neutral
ts26931,H2O: Footprints in the Sand,SHOW,6,2008,5.06,0.06642321,Neutral
ts31511,Peacemaker Kurogane,SHOW,7.2,2003,5.96,0.20938383,Neutral
ts2718,Cosmo Warrior Zero,SHOW,6.9,2001,5.65,-0.029135324,Neutral
ts11645,Ah My Buddha!!,SHOW,5.9,2005,5.33,0.25821614,Neutral
ts39260,Yakitate!! Japan,SHOW,7.7,2004,6.18,0.28558686,Neutral
ts27114,Kaiba,SHOW,8.1,2008,6.58,0.14945488,Neutral
ts39338,Tetsujin 28,SHOW,6.6,2004,5.24,-0.11808332,Neutral
ts35033,Nagasarete Airanto,SHOW,6.6,2007,5.47,0.30371192,Positive
ts56437,Full Metal Panic? Fumoffu,SHOW,7.7,2003,6.36,0.18206412,Neutral
ts23830,Tegami Bachi: Letter Bee,SHOW,7.3,2009,5.57,0.25451824,Neutral
ts60873,Kyo Kara Maoh!,SHOW,7.5,2004,5.9,0.35851708,Positive
ts5606,Aria the Animation,SHOW,8.4,2005,6.6,0.2810958,Neutral
ts33495,Mushi-Uta,SHOW,6,2007,2.81,0.27912277,Neutral
ts47460,The Galaxy Railways,SHOW,6.9,2003,5.57,0.020540513,Neutral
ts26155,True Tears,SHOW,7.2,2008,5.67,0.02169392,Neutral
ts30503,Heroman,SHOW,7.1,2010,5.58,0.09396591,Neutral
ts25824,Haruka Nogizaka's Secret,SHOW,6.7,2008,4.54,0.3057923,Positive
ts24421,Pandora Hearts,SHOW,7.2,2009,5.78,0.07076928,Neutral
ts41111,Hanasakeru Seishōnen,SHOW,7.3,2009,4.9,0.16407232,Neutral
ts24469,Saki,SHOW,7.2,2009,5.5,0.19758068,Neutral
ts72541,Ramen Fighter Miki,SHOW,7.9,2006,5.46,0.20075053,Neutral
ts83895,Full Metal Panic! The Second Raid,SHOW,7.7,2005,5.7,0.40285587,Positive
ts24532,Please Teacher!,SHOW,6.9,2002,6.14,0.075122885,Neutral
ts34617,Zombie-Loan,SHOW,6,2007,5.08,0.38024125,Positive
ts30496,Star Driver,SHOW,6.1,2010,5,0.23007466,Neutral
ts63557,Izumo: Flash of a Brave Sword,SHOW,5.6,2005,4.94,0.34568265,Positive
ts33241,Time Jam: Valerian & Laureline,SHOW,7.3,2007,5.41,0.20940596,Neutral
ts11581,DearS,SHOW,6.1,2004,5.31,0.25706816,Neutral
ts25464,Neo Angelique Abyss,SHOW,6.5,2008,3.16,0.53623724,Positive
ts25680,The Tower of Druaga: The Aegis of Uruk,SHOW,6.6,2008,5.59,0.45346287,Positive
ts35062,Hayate the Combat Butler,SHOW,6.6,2007,5.13,0.09284866,Neutral
ts4142,Elemental Gelade,SHOW,6.8,2005,5.68,0.17969193,Neutral
ts47193,Ultra Maniac,SHOW,7.6,2003,5.55,0.12300538,Neutral
ts44050,Please Twins,SHOW,6.3,2003,5.51,0.13616642,Neutral
ts55248,Super GALS!,SHOW,7,2001,5.81,0.41886988,Positive
ts12740,07-Ghost,SHOW,6.9,2009,5.65,0.1738837,Neutral
ts57758,Sketchbook ~full color's~,SHOW,7.5,2007,5.03,0.41026378,Positive
ts32189,Stellvia of the Universe,SHOW,6.2,2003,4.77,0.16854788,Neutral
ts32848,Shining Tears X Wind,SHOW,5.2,2007,4.1,0.14327702,Neutral
ts26720,Koihime Muso,SHOW,6.6,2008,5.58,0.32663897,Positive
ts57008,Pilot Candidate,SHOW,5.6,2002,3.53,0.23020066,Neutral
ts45590,"Yamibo - Darkness, the Hat, and the Travelers of the Books",SHOW,6.5,2003,4.94,0.2326142,Neutral
ts85831,Looking Up at the Half-Moon,SHOW,7,2006,3.47,0.22515377,Neutral
ts40788,The Tower of Druaga: the Sword of Uruk,SHOW,6.7,2009,5.74,0.66826797,Positive
ts23568,White Album,SHOW,6.3,2009,4.57,0.40214086,Positive
ts30037,Moyashimon,SHOW,5.2,2010,2.43,0.25158462,Neutral
ts9567,11eyes,SHOW,5.8,2009,5.4,0.27228078,Neutral
ts31545,Interlude,SHOW,6.6,2004,4.18,0.14398214,Neutral
ts43417,The Third: The Girl with the Blue Eye,SHOW,6.6,2006,4.45,0.17969081,Neutral
ts34154,Myself; Yourself,SHOW,6.5,2007,5.04,0.2532967,Neutral
ts178815,Shin Koihime musô: Otome tairan,SHOW,7,2010,3.23,0.47169423,Positive
ts3358,Air Master,SHOW,6.8,2003,6.38,0.067409866,Neutral
ts23150,Modern Magic Made Simple,SHOW,5.6,2009,3.73,0.17967229,Neutral
ts38342,Inukami!,SHOW,6.7,2006,4.94,0.27286956,Neutral
ts25979,Hyakko,SHOW,6.9,2008,5.57,0.08856712,Neutral
ts45825,Pita Ten,SHOW,7.4,2002,3.48,0.090168715,Neutral
ts23469,Ristorante Paradiso,SHOW,7.3,2009,5.48,0.3265713,Positive
ts29888,Sound of the Sky,SHOW,7,2010,5.77,0.22948092,Neutral
ts60066,Soul Link,SHOW,6,2006,4.61,0.2579149,Neutral
ts4514,Chance Pop Session,SHOW,6.6,2001,5.09,0.16166027,Neutral
ts15147,Blassreiter,SHOW,6.7,2008,5.29,0.23258609,Neutral
ts27188,Kamen no Maid Guy,SHOW,6.3,2008,5.32,-0.035452202,Neutral
ts55976,Gakuen Alice,SHOW,7.2,2004,5.62,0.36985776,Positive
ts43162,Ninja Nonsense,SHOW,7.2,2004,6.2,0.2628434,Neutral
ts189307,Mahoraba: Heartful Days,SHOW,7.4,2005,3.48,0.13872261,Neutral
ts27409,Glass Mask,SHOW,8.3,2005,6.13,0.31151825,Positive
ts27245,Koi Koi Seven,SHOW,6.1,2005,4.97,0.3544527,Positive
ts17078,Canvas 2 ~Niji Iro no Sketch~,SHOW,6.6,2005,4.9,0.32142478,Positive
ts28370,Fairy Musketeers,SHOW,5.2,2006,2.48,0.13437401,Neutral
ts186502,Shingu: Secret of the Stellar Wars,SHOW,7.4,2001,3.44,0.08946639,Neutral
ts38184,Mon Colle Knights,SHOW,6.7,2001,6.22,0.091284655,Neutral
ts184925,Fantastic Detective Labyrinth,SHOW,5,2007,2.91,0.19554982,Neutral
ts34883,Kono Aozora ni Yakusoku wo,SHOW,4.1,2007,2.02,0.073537,Neutral
ts80610,Earl and Fairy,SHOW,6.6,2008,4.28,0.14412884,Neutral
ts32835,Hunter x Hunter,SHOW,9,2011,7.72,0.27447566,Neutral
ts20433,JoJo's Bizarre Adventure,SHOW,8.4,2012,7.29,0.16830824,Neutral
ts22244,Steins;Gate,SHOW,8.8,2011,7.5,0.044432316,Neutral
ts20429,Sword Art Online,SHOW,7.6,2012,6.92,0.11012003,Neutral
